,Sensor Type No,Line No,Sensor No,Temp,Time
0,2,400,1,24.0909,2022-01-20 08:21:53
1,2,400,2,22.4188,2022-01-20 08:21:53
2,2,400,3,22.1298,2022-01-20 08:21:53
3,2,400,4,19.6461,2022-01-20 08:21:53
4,2,400,5,28.8189,2022-01-20 08:21:53
5,2,400,6,19.0707,2022-01-20 08:21:53
6,2,400,7,18.4923,2022-01-20 08:21:53
7,2,400,8,22.6474,2022-01-20 08:21:53
8,2,400,9,30.9298,2022-01-20 08:21:53
9,2,400,10,32.3154,2022-01-20 08:21:53
10,2,400,11,31.8956,2022-01-20 08:21:53
11,2,400,12,23.2215,2022-01-20 08:21:53
12,2,400,13,20.911,2022-01-20 08:21:53
13,2,400,14,19.2458,2022-01-20 08:21:53
14,2,400,15,19.6683,2022-01-20 08:21:53
15,2,400,16,19.9765,2022-01-20 08:21:53
16,2,400,1,24.0909,2022-01-20 08:21:54
17,2,400,2,22.4188,2022-01-20 08:21:54
18,2,400,3,22.1298,2022-01-20 08:21:54
19,2,400,4,19.6461,2022-01-20 08:21:54
20,2,400,5,28.8189,2022-01-20 08:21:54
21,2,400,6,19.0707,2022-01-20 08:21:54
22,2,400,7,18.4923,2022-01-20 08:21:54
23,2,400,8,22.6474,2022-01-20 08:21:54
24,2,400,9,30.9298,2022-01-20 08:21:54
25,2,400,10,32.3154,2022-01-20 08:21:54
26,2,400,11,31.8956,2022-01-20 08:21:54
27,2,400,12,23.2215,2022-01-20 08:21:54
28,2,400,13,20.911,2022-01-20 08:21:54
29,2,400,14,19.2458,2022-01-20 08:21:54
30,2,400,15,19.6683,2022-01-20 08:21:54
31,2,400,16,19.9765,2022-01-20 08:21:54
32,2,400,1,24.314,2022-01-20 08:22:57
33,2,400,2,23.3133,2022-01-20 08:22:57
34,2,400,3,22.8251,2022-01-20 08:22:57
35,2,400,4,19.4187,2022-01-20 08:22:57
36,2,400,5,34.5021,2022-01-20 08:22:57
37,2,400,6,19.2502,2022-01-20 08:22:57
38,2,400,7,18.5575,2022-01-20 08:22:57
39,2,400,8,23.5828,2022-01-20 08:22:57
40,2,400,9,37.9499,2022-01-20 08:22:57
41,2,400,10,35.4757,2022-01-20 08:22:57
42,2,400,11,38.0429,2022-01-20 08:22:57
43,2,400,12,25.4189,2022-01-20 08:22:57
44,2,400,13,20.6509,2022-01-20 08:22:57
45,2,400,14,19.4655,2022-01-20 08:22:57
46,2,400,15,19.7326,2022-01-20 08:22:57
47,2,400,16,19.3808,2022-01-20 08:22:57
48,2,400,1,24.314,2022-01-20 08:22:57
49,2,400,2,23.3133,2022-01-20 08:22:57
50,2,400,3,22.8251,2022-01-20 08:22:57
51,2,400,4,19.4187,2022-01-20 08:22:57
52,2,400,5,34.5021,2022-01-20 08:22:57
53,2,400,6,19.2502,2022-01-20 08:22:57
54,2,400,7,18.5575,2022-01-20 08:22:57
55,2,400,8,23.5828,2022-01-20 08:22:57
56,2,400,9,37.9499,2022-01-20 08:22:57
57,2,400,10,35.4757,2022-01-20 08:22:57
58,2,400,11,38.0429,2022-01-20 08:22:57
59,2,400,12,25.4189,2022-01-20 08:22:57
60,2,400,13,20.6509,2022-01-20 08:22:57
61,2,400,14,19.4655,2022-01-20 08:22:57
62,2,400,15,19.7326,2022-01-20 08:22:57
63,2,400,16,19.3808,2022-01-20 08:22:57
64,2,400,1,25.8919,2022-01-20 08:24:01
65,2,400,2,23.9645,2022-01-20 08:24:01
66,2,400,3,23.8318,2022-01-20 08:24:01
67,2,400,4,19.9537,2022-01-20 08:24:01
68,2,400,5,37.702,2022-01-20 08:24:01
69,2,400,6,19.2841,2022-01-20 08:24:01
70,2,400,7,18.6415,2022-01-20 08:24:01
71,2,400,8,24.0861,2022-01-20 08:24:01
72,2,400,9,42.018,2022-01-20 08:24:01
73,2,400,10,37.9817,2022-01-20 08:24:01
74,2,400,11,40.9741,2022-01-20 08:24:01
75,2,400,12,26.1328,2022-01-20 08:24:01
76,2,400,13,21.4395,2022-01-20 08:24:01
77,2,400,14,19.6178,2022-01-20 08:24:01
78,2,400,15,19.7562,2022-01-20 08:24:01
79,2,400,16,19.4613,2022-01-20 08:24:01
80,2,400,1,25.8919,2022-01-20 08:24:08
81,2,400,2,23.9645,2022-01-20 08:24:08
82,2,400,3,23.8318,2022-01-20 08:24:08
83,2,400,4,19.9537,2022-01-20 08:24:08
84,2,400,5,37.702,2022-01-20 08:24:08
85,2,400,6,19.2841,2022-01-20 08:24:08
86,2,400,7,18.6415,2022-01-20 08:24:08
87,2,400,8,24.0861,2022-01-20 08:24:08
88,2,400,9,42.018,2022-01-20 08:24:08
89,2,400,10,37.9817,2022-01-20 08:24:08
90,2,400,11,40.9741,2022-01-20 08:24:08
91,2,400,12,26.8188,2022-01-20 08:24:08
92,2,400,13,21.4395,2022-01-20 08:24:08
93,2,400,14,19.6178,2022-01-20 08:24:08
94,2,400,15,19.8303,2022-01-20 08:24:08
95,2,400,16,19.4613,2022-01-20 08:24:08
96,2,400,1,27.228,2022-01-20 08:26:01
97,2,400,2,25.9599,2022-01-20 08:26:01
98,2,400,3,25.1689,2022-01-20 08:26:01
99,2,400,4,20.5808,2022-01-20 08:26:01
100,2,400,5,41.6501,2022-01-20 08:26:01
101,2,400,6,19.5848,2022-01-20 08:26:01
102,2,400,7,18.7192,2022-01-20 08:26:01
103,2,400,8,25.646,2022-01-20 08:26:01
104,2,400,9,47.0995,2022-01-20 08:26:01
105,2,400,10,40.6506,2022-01-20 08:26:01
106,2,400,11,45.4235,2022-01-20 08:26:01
107,2,400,12,28.6518,2022-01-20 08:26:01
108,2,400,13,22.0902,2022-01-20 08:26:01
109,2,400,14,19.8577,2022-01-20 08:26:01
110,2,400,15,19.8704,2022-01-20 08:26:01
111,2,400,16,19.5465,2022-01-20 08:26:01
112,2,400,1,27.228,2022-01-20 08:26:02
113,2,400,2,25.9599,2022-01-20 08:26:02
114,2,400,3,25.1689,2022-01-20 08:26:02
115,2,400,4,20.5808,2022-01-20 08:26:02
116,2,400,5,41.6501,2022-01-20 08:26:02
117,2,400,6,19.5848,2022-01-20 08:26:02
118,2,400,7,18.7192,2022-01-20 08:26:02
119,2,400,8,25.646,2022-01-20 08:26:02
120,2,400,9,47.0995,2022-01-20 08:26:02
121,2,400,10,40.6506,2022-01-20 08:26:02
122,2,400,11,45.4235,2022-01-20 08:26:02
123,2,400,12,28.6518,2022-01-20 08:26:02
124,2,400,13,22.0902,2022-01-20 08:26:02
125,2,400,14,19.8577,2022-01-20 08:26:02
126,2,400,15,19.8704,2022-01-20 08:26:02
127,2,400,16,19.5465,2022-01-20 08:26:02
128,2,400,1,27.6031,2022-01-20 08:27:02
129,2,400,2,26.3795,2022-01-20 08:27:02
130,2,400,3,25.5166,2022-01-20 08:27:02
131,2,400,4,20.7725,2022-01-20 08:27:02
132,2,400,5,42.9276,2022-01-20 08:27:02
133,2,400,6,19.5821,2022-01-20 08:27:02
134,2,400,7,18.813,2022-01-20 08:27:02
135,2,400,8,25.8226,2022-01-20 08:27:02
136,2,400,9,48.7065,2022-01-20 08:27:02
137,2,400,10,42.1949,2022-01-20 08:27:02
138,2,400,11,47.5208,2022-01-20 08:27:02
139,2,400,12,29.6329,2022-01-20 08:27:02
140,2,400,13,22.2928,2022-01-20 08:27:02
141,2,400,14,20.1785,2022-01-20 08:27:02
142,2,400,15,19.9707,2022-01-20 08:27:02
143,2,400,16,19.6297,2022-01-20 08:27:02
144,2,400,1,27.6031,2022-01-20 08:27:03
145,2,400,2,26.3795,2022-01-20 08:27:03
146,2,400,3,25.5166,2022-01-20 08:27:03
147,2,400,4,20.7725,2022-01-20 08:27:03
148,2,400,5,42.9276,2022-01-20 08:27:03
149,2,400,6,19.5821,2022-01-20 08:27:03
150,2,400,7,18.813,2022-01-20 08:27:03
151,2,400,8,25.8226,2022-01-20 08:27:03
152,2,400,9,48.7065,2022-01-20 08:27:03
153,2,400,10,42.1949,2022-01-20 08:27:03
154,2,400,11,47.5208,2022-01-20 08:27:03
155,2,400,12,29.6329,2022-01-20 08:27:03
156,2,400,13,22.2928,2022-01-20 08:27:03
157,2,400,14,20.1785,2022-01-20 08:27:03
158,2,400,15,19.9707,2022-01-20 08:27:03
159,2,400,16,19.6297,2022-01-20 08:27:03
160,2,400,1,28.5427,2022-01-20 08:28:18
161,2,400,2,27.1397,2022-01-20 08:28:18
162,2,400,3,26.4181,2022-01-20 08:28:18
163,2,400,4,21.2204,2022-01-20 08:28:18
164,2,400,5,46.0298,2022-01-20 08:28:18
165,2,400,6,19.7383,2022-01-20 08:28:18
