,Sensor Type No,Line No,Sensor No,Temp,Time
107,1,400,12,34.152,2022-01-17 14:08:02
108,1,400,13,23.5966,2022-01-17 14:08:02
109,1,400,14,21.4694,2022-01-17 14:08:02
110,1,400,15,19.571,2022-01-17 14:08:02
111,1,400,16,20.1435,2022-01-17 14:08:02
112,1,400,1,23.8301,2022-01-17 14:08:03
113,1,400,2,24.2193,2022-01-17 14:08:03
114,1,400,3,24.2576,2022-01-17 14:08:03
115,1,400,4,21.438,2022-01-17 14:08:03
116,1,400,5,49.357,2022-01-17 14:08:03
117,1,400,6,19.4995,2022-01-17 14:08:03
118,1,400,7,19.7574,2022-01-17 14:08:03
119,1,400,8,24.1343,2022-01-17 14:08:03
120,1,400,9,57.0398,2022-01-17 14:08:03
121,1,400,10,43.8687,2022-01-17 14:08:03
122,1,400,11,52.4753,2022-01-17 14:08:03
123,1,400,12,34.152,2022-01-17 14:08:03
124,1,400,13,23.5966,2022-01-17 14:08:03
125,1,400,14,21.4694,2022-01-17 14:08:03
126,1,400,15,19.571,2022-01-17 14:08:03
127,1,400,16,20.1435,2022-01-17 14:08:03
128,2,400,1,23.6178,2022-01-17 14:08:04
129,2,400,2,23.2417,2022-01-17 14:08:04
130,2,400,3,23.4518,2022-01-17 14:08:04
131,2,400,4,21.3796,2022-01-17 14:08:04
132,2,400,5,45.2888,2022-01-17 14:08:04
133,2,400,6,19.9209,2022-01-17 14:08:04
134,2,400,7,18.8658,2022-01-17 14:08:04
135,2,400,8,23.6746,2022-01-17 14:08:04
136,2,400,9,52.8815,2022-01-17 14:08:04
137,2,400,10,40.6943,2022-01-17 14:08:04
138,2,400,11,50.5492,2022-01-17 14:08:04
139,2,400,12,31.9375,2022-01-17 14:08:04
140,2,400,13,23.4735,2022-01-17 14:08:04
141,2,400,14,21.0562,2022-01-17 14:08:04
142,2,400,15,19.6713,2022-01-17 14:08:04
143,2,400,16,19.4259,2022-01-17 14:08:04
144,2,400,1,23.6178,2022-01-17 14:08:05
145,2,400,2,23.2417,2022-01-17 14:08:05
146,2,400,3,23.4518,2022-01-17 14:08:05
147,2,400,4,21.3796,2022-01-17 14:08:05
148,2,400,5,45.2888,2022-01-17 14:08:05
149,2,400,6,19.9209,2022-01-17 14:08:05
150,2,400,7,18.8658,2022-01-17 14:08:05
151,2,400,8,23.6746,2022-01-17 14:08:05
152,2,400,9,52.8815,2022-01-17 14:08:05
153,2,400,10,40.6943,2022-01-17 14:08:05
154,2,400,11,50.5492,2022-01-17 14:08:05
155,2,400,12,31.9375,2022-01-17 14:08:05
156,2,400,13,23.4735,2022-01-17 14:08:05
157,2,400,14,21.0562,2022-01-17 14:08:05
158,2,400,15,19.6713,2022-01-17 14:08:05
159,2,400,16,19.4259,2022-01-17 14:08:05
160,3,400,1,22.0284,2022-01-17 14:08:07
161,3,400,2,21.6218,2022-01-17 14:08:07
162,3,400,3,20.5811,2022-01-17 14:08:07
163,3,400,4,19.4096,2022-01-17 14:08:07
164,3,400,5,34.9962,2022-01-17 14:08:07
165,3,400,6,19.0139,2022-01-17 14:08:07
166,3,400,7,19.5063,2022-01-17 14:08:07
167,3,400,8,21.603,2022-01-17 14:08:07
168,3,400,9,40.013,2022-01-17 14:08:07
169,3,400,10,30.3555,2022-01-17 14:08:07
170,3,400,11,38.065,2022-01-17 14:08:07
171,3,400,12,27.7086,2022-01-17 14:08:07
172,3,400,13,21.9149,2022-01-17 14:08:07
173,3,400,14,20.6959,2022-01-17 14:08:07
174,3,400,15,19.3149,2022-01-17 14:08:07
175,3,400,16,19.8266,2022-01-17 14:08:07
176,3,400,1,22.0284,2022-01-17 14:08:07
177,3,400,2,21.6218,2022-01-17 14:08:07
178,3,400,3,20.5811,2022-01-17 14:08:07
179,3,400,4,19.4096,2022-01-17 14:08:07
180,3,400,5,34.9962,2022-01-17 14:08:07
181,3,400,6,19.0139,2022-01-17 14:08:07
182,3,400,7,19.5063,2022-01-17 14:08:07
183,3,400,8,21.603,2022-01-17 14:08:07
184,3,400,9,40.013,2022-01-17 14:08:07
185,3,400,10,30.3555,2022-01-17 14:08:07
186,3,400,11,38.065,2022-01-17 14:08:07
187,3,400,12,27.7086,2022-01-17 14:08:07
188,3,400,13,21.9149,2022-01-17 14:08:07
189,3,400,14,20.6959,2022-01-17 14:08:07
190,3,400,15,19.3149,2022-01-17 14:08:07
191,3,400,16,19.8266,2022-01-17 14:08:07
192,1,400,1,24.0266,2022-01-17 14:09:03
193,1,400,2,24.3596,2022-01-17 14:09:03
194,1,400,3,24.4147,2022-01-17 14:09:03
195,1,400,4,21.5074,2022-01-17 14:09:03
196,1,400,5,50.3338,2022-01-17 14:09:03
197,1,400,6,19.4717,2022-01-17 14:09:03
198,1,400,7,19.7959,2022-01-17 14:09:03
199,1,400,8,24.2273,2022-01-17 14:09:03
200,1,400,9,57.6191,2022-01-17 14:09:03
201,1,400,10,44.4187,2022-01-17 14:09:03
202,1,400,11,53.7904,2022-01-17 14:09:03
203,1,400,12,34.5837,2022-01-17 14:09:03
204,1,400,13,23.8586,2022-01-17 14:09:03
205,1,400,14,21.633,2022-01-17 14:09:03
206,1,400,15,19.4366,2022-01-17 14:09:03
207,1,400,16,20.2363,2022-01-17 14:09:03
208,1,400,1,24.0266,2022-01-17 14:09:04
209,1,400,2,24.3596,2022-01-17 14:09:04
210,1,400,3,24.4147,2022-01-17 14:09:04
211,1,400,4,21.5074,2022-01-17 14:09:04
212,1,400,5,50.3338,2022-01-17 14:09:04
213,1,400,6,19.4717,2022-01-17 14:09:04
214,1,400,7,19.7959,2022-01-17 14:09:04
215,1,400,8,24.2273,2022-01-17 14:09:04
216,1,400,9,57.6191,2022-01-17 14:09:04
217,1,400,10,44.4187,2022-01-17 14:09:04
218,1,400,11,53.7904,2022-01-17 14:09:04
219,1,400,12,34.5837,2022-01-17 14:09:04
220,1,400,13,23.8586,2022-01-17 14:09:04
221,1,400,14,21.633,2022-01-17 14:09:04
222,1,400,15,19.4366,2022-01-17 14:09:04
223,1,400,16,20.2363,2022-01-17 14:09:04
224,2,400,1,23.6967,2022-01-17 14:09:05
225,2,400,2,23.3597,2022-01-17 14:09:05
226,2,400,3,23.5094,2022-01-17 14:09:05
227,2,400,4,21.4322,2022-01-17 14:09:05
228,2,400,5,46.3196,2022-01-17 14:09:05
229,2,400,6,19.9501,2022-01-17 14:09:05
230,2,400,7,18.8996,2022-01-17 14:09:05
231,2,400,8,23.8137,2022-01-17 14:09:05
232,2,400,9,53.5229,2022-01-17 14:09:05
233,2,400,10,41.2298,2022-01-17 14:09:05
234,2,400,11,51.2203,2022-01-17 14:09:05
235,2,400,12,32.3707,2022-01-17 14:09:05
236,2,400,13,23.7095,2022-01-17 14:09:05
237,2,400,14,21.2898,2022-01-17 14:09:05
238,2,400,15,19.7223,2022-01-17 14:09:05
239,2,400,16,19.368,2022-01-17 14:09:05
240,2,400,1,23.6967,2022-01-17 14:09:05
241,2,400,2,23.3597,2022-01-17 14:09:05
242,2,400,3,23.5094,2022-01-17 14:09:05
243,2,400,4,21.4322,2022-01-17 14:09:05
244,2,400,5,46.3196,2022-01-17 14:09:05
245,2,400,6,19.9501,2022-01-17 14:09:05
246,2,400,7,18.8996,2022-01-17 14:09:05
247,2,400,8,23.8137,2022-01-17 14:09:05
248,2,400,9,53.5229,2022-01-17 14:09:05
249,2,400,10,41.2298,2022-01-17 14:09:05
250,2,400,11,51.2203,2022-01-17 14:09:05
251,2,400,12,32.3707,2022-01-17 14:09:05
252,2,400,13,23.7095,2022-01-17 14:09:05
253,2,400,14,21.2898,2022-01-17 14:09:05
254,2,400,15,19.7223,2022-01-17 14:09:05
255,2,400,16,19.368,2022-01-17 14:09:05
256,3,400,1,22.0888,2022-01-17 14:09:07
257,3,400,2,21.7022,2022-01-17 14:09:07
258,3,400,3,20.742,2022-01-17 14:09:07
259,3,400,4,19.4381,2022-01-17 14:09:07
260,3,400,5,35.8817,2022-01-17 14:09:07
261,3,400,6,18.9828,2022-01-17 14:09:07
262,3,400,7,19.5165,2022-01-17 14:09:07
263,3,400,8,21.6796,2022-01-17 14:09:07
264,3,400,9,40.5383,2022-01-17 14:09:07
265,3,400,10,30.7393,2022-01-17 14:09:07
266,3,400,11,38.7013,2022-01-17 14:09:07
267,3,400,12,28.1087,2022-01-17 14:09:07
268,3,400,13,22.1394,2022-01-17 14:09:07
269,3,400,14,20.9133,2022-01-17 14:09:07
270,3,400,15,19.384,2022-01-17 14:09:07
271,3,400,16,19.7936,2022-01-17 14:09:07
272,3,400,1,22.0888,2022-01-17 14:09:08
273,3,400,2,21.7022,2022-01-17 14:09:08
274,3,400,3,20.742,2022-01-17 14:09:08
275,3,400,4,19.4381,2022-01-17 14:09:08
276,3,400,5,35.8817,2022-01-17 14:09:08
277,3,400,6,18.9828,2022-01-17 14:09:08
278,3,400,7,19.5165,2022-01-17 14:09:08
279,3,400,8,21.6796,2022-01-17 14:09:08
280,3,400,9,41.1877,2022-01-17 14:09:08
281,3,400,10,30.7393,2022-01-17 14:09:08
282,3,400,11,38.7013,2022-01-17 14:09:08
283,3,400,12,28.1087,2022-01-17 14:09:08
284,3,400,13,22.1394,2022-01-17 14:09:08
285,3,400,14,20.9133,2022-01-17 14:09:08
286,3,400,15,19.384,2022-01-17 14:09:08
287,3,400,16,19.7936,2022-01-17 14:09:08
288,1,400,1,24.173,2022-01-17 14:10:05
289,1,400,2,24.4807,2022-01-17 14:10:05
290,1,400,3,24.5519,2022-01-17 14:10:05
291,1,400,4,21.6396,2022-01-17 14:10:05
292,1,400,5,50.8628,2022-01-17 14:10:05
293,1,400,6,19.5789,2022-01-17 14:10:05
294,1,400,7,19.796,2022-01-17 14:10:05
295,1,400,8,24.3833,2022-01-17 14:10:05
296,1,400,9,58.9189,2022-01-17 14:10:05
297,1,400,10,45.0494,2022-01-17 14:10:05
298,1,400,11,54.9644,2022-01-17 14:10:05
299,1,400,12,35.1611,2022-01-17 14:10:05
300,1,400,13,23.9345,2022-01-17 14:10:05
301,1,400,14,21.7722,2022-01-17 14:10:05
302,1,400,15,19.5219,2022-01-17 14:10:05
303,1,400,16,20.2199,2022-01-17 14:10:05
